epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.331,1.80759,2.35307,1.72856,0.44953,0.28,0.27242,0.10338,2.32544,2.7331,1.97819,0.00065641,0.00065641,0.00065641
2,685.991,1.78556,2.01102,1.72008,0.25373,0.12,0.09264,0.02649,2.3644,4.83142,2.42986,0.00128779,0.00128779,0.00128779
3,992.459,1.80892,1.9674,1.73197,0.08618,0.2,0.0925,0.02328,2.37024,3.87309,2.46111,0.00188362,0.00188362,0.00188362
